,clTrackID,timepoint,rel_time,rel_r,r_squared,circle_radius,radius_velocity,radius_acceleration,wave_centroid,cell_density,ca_avg_sig,split,trackable,drug_name,drug_dose,volunteer_ID,wave_ID,image_ID,real_time
33,6,178,15,247.6768474142387,61343.82074505607,292.44238834557655,0.0527242940748351,-0.0989268405993675,[236.12228268 202.95671735],3262.7455216005,327.35749810790355,1.0,True,,,17,34-6,34,75.0
34,3,135,0,0.0,0.0,40.39577429757539,1.878247360018706,0.0528745852996282,[233.66971268 236.15874477],4050.304785435104,303.34657336555244,0.0,True,,,17,35-3,35,0.0
35,3,136,1,9.39123680009353,88.19532863543097,49.78701109766892,2.142620286516847,-0.0020126571923736,[233.2064611  228.90304095],4071.4001228592447,304.7896194120016,0.0,True,,,17,35-3,35,5.0
36,3,137,2,21.42620286516847,459.08216921935355,61.82197716274386,1.858120788094969,-0.0762720361867672,[230.92863543 234.24659461],4039.053938808895,304.63568935427577,0.0,True,,,17,35-3,35,10.0
37,3,138,3,27.97244468104322,782.4576614340232,68.36821897861861,1.3798999246491743,-0.0623348500346406,[231.1527691  234.57312256],4030.615803839239,304.5302389582494,0.0,True,,,17,35-3,35,15.0
38,3,139,4,35.22520211166022,1240.8148638073114,75.62097640923561,1.2347722877485623,-0.0235760343872493,[230.69230769 234.82451923],4034.8348713240666,306.1523023224594,0.0,True,,,17,35-3,35,20.0
39,3,140,5,40.320167558528844,1625.715911947842,80.71594185610424,1.144139580776681,0.0214808911858705,[235.07462154 234.31453167],4046.085717950276,306.20444019331455,0.0,True,,,17,35-3,35,25.0
40,3,141,6,46.666597919427026,2177.771361373471,87.06237221700242,1.4495811996072674,0.1003749231133848,[236.4708784 236.4504278],4057.336564576484,308.6904785877299,0.0,True,,,17,35-3,35,30.0
41,3,142,7,54.81597955460153,3004.7916145304916,95.21175385217693,2.147888811910529,0.1433613826590677,[237.47038793 236.46295426],4044.679362122,310.82511075312124,0.0,True,,,17,35-3,35,35.0
42,3,143,8,68.14548603853234,4643.807267427802,108.54126033610773,2.8831950261979444,0.1007993364232779,[237.16563317 236.46771884],4050.304785435104,311.9250067123104,0.0,True,,,17,35-3,35,40.0
43,3,144,9,83.64792981658096,6996.976162599653,124.04370411415636,3.155882176143308,-0.0689396788755863,[237.49731148 238.70265158],4067.1810553744167,314.0242985635656,0.0,True,,,17,35-3,35,45.0
44,3,145,10,99.70430779996539,9940.94899387024,140.1000820975408,2.1937982374420812,-0.1874126274648912,[240.10133363 238.02452326],4041.866650465447,315.5981004161632,0.0,True,,,17,35-3,35,50.0
