time,r_simple
4.74,66.71412120393532
4.76,66.959539543459
4.78,67.20480662203346
4.8,67.44992307255332
4.82,67.69488952263912
4.84,67.93970659470295
4.86,68.18437490601282
4.88,68.42889506875643
4.9,68.67326769010339
4.92,68.91749337226679
4.94,69.1615727125638
4.96,69.40550630347475
4.98,69.64929473270202
5.0,69.8929385832274
5.02,70.13643843336875
5.04,70.37979485683587
5.06,70.6230084227852
5.08,70.86607969587392
5.1,71.10900923631301
5.12,71.35179759991969
5.14,71.59444533816868
5.16,71.83695299824323
5.18,72.07932112308468
5.2,72.32155025144176
5.22,72.56364091791902
5.24,72.80559365302436
5.26,73.0474089832159
5.28,73.28908743094834
5.3,73.5306295147183
5.32,73.77203574910928
5.34,74.01330664483555
5.36,74.25444270878597
5.38,74.49544444406648
5.4,74.73631235004241
5.42,74.97704692238021
5.44,75.21764865308812
5.46,75.45811803055668
5.48,75.6984555395985
5.5,75.93866166148733
5.52,76.1787368739967
5.54,76.41868165143812
5.56,76.65849646469832
5.58,76.89818178127638
5.6,77.13773806532011
5.62,77.3771657776619
5.64,77.61646537585428
5.66,77.85563731420466
5.68,78.09468204380977
5.7,78.33360001258953
5.72,78.57239166532061
5.74,78.81105744366938
5.76,79.04959778622425
5.78,79.28801312852794
5.8,79.52630390310901
5.82,79.76447053951301
5.84,80.00251346433335
5.86,80.24043310124146
5.88,80.47822987101681
5.9,80.7159041915765
5.92,80.95345647800417
5.94,81.19088714257883
5.96,81.42819659480325
5.98,81.66538524143184
6.0,81.90245348649815
6.02,82.13940173134226
6.04,82.37623037463746
6.06,82.61293981241677
6.08,82.84953043809924
6.1,83.0860026425155
6.12,83.32235681393342
6.14,83.55859333808309
6.16,83.79471259818172
6.18,84.03071497495816
6.2,84.26660084667685
6.22,84.50237058916188
6.24,84.7380245758204
6.26,84.97356317766607
6.28,85.20898676334154
6.3,85.44429569914172
6.32,85.67949034903565
6.34,85.91457107468877
6.36,86.14953823548478
6.38,86.38439218854705
