,volunteer,seed_density,well_id,position,target_id,cell_num,target_size,cells_to_target,measured_density
36,18,10m,w3,p1,t1,287.1711962188087,2842.2900000000004,0.10103514990335562,9770.431588613406
37,18,10m,w3,p1,t2,318.7584774059509,2864.0700000000006,0.11129563083512303,9954.08631772268
38,18,10m,w3,p1,t3,292.9105028644176,3156.8900000000003,0.09278451351311498,8429.752066115701
39,18,10m,w3,p1,t4,379.0221078134464,2370.3900000000003,0.15989862757328807,9329.660238751147
40,18,10m,w3,p2,t1,434.0520094562648,3414.6200000000003,0.12711575796318908,9853.07621671258
41,18,10m,w3,p2,t2,458.88038504023984,4331.800000000001,0.10593295744038038,9954.08631772268
42,18,10m,w3,p2,t3,418.3669312355132,3129.0600000000004,0.1337037101351566,10027.54820936639
43,18,10m,w3,p2,t4,410.4184902876812,2411.53,0.17019008276392214,9898.989898989897
44,18,10m,w3,p3,t1,453.97092278719396,3793.3500000000004,0.11967546437507583,10174.47199265381
45,18,10m,w3,p3,t2,356.39232474581456,2683.78,0.13279491044191943,10468.319559228648
46,18,10m,w3,p3,t3,505.93338171262684,3855.0600000000004,0.1312387827200165,10275.482093663912
47,18,10m,w3,p3,t4,406.95205796207796,3235.5400000000004,0.12577562260459704,9733.700642791551
48,18,10m,w3,p4,t1,142.94214733946532,1471.3600000000001,0.09714967604085017,10596.877869605141
49,18,10m,w3,p4,t2,363.8013880383752,2376.4400000000005,0.153086712914433,11478.420569329659
50,18,10m,w3,p4,t3,264.9881023200476,2939.0900000000006,0.09015991423197232,10266.299357208447
51,18,10m,w3,p4,t4,315.805261359754,2290.53,0.13787431789138496,10642.79155188246
52,18,10m,w3,p5,t1,318.423606023606,1143.4500000000003,0.2784761957441129,10743.801652892562
53,18,10m,w3,p5,t2,323.12087051824017,1582.6800000000003,0.20416058237814347,10413.223140495867
54,18,10m,w3,p5,t3,332.3268772348033,1795.6400000000003,0.18507433407297857,10679.522497704314
55,5,6m,w1,p1,t1,453.006254018353,2468.4000000000005,0.18352222249973785,4407.713498622589
56,5,6m,w1,p1,t2,458.72762619829723,2790.26,0.16440318328696868,3415.9779614325066
