time,r_simple
25.98,336.69059260897996
26.0,336.91377089783754
26.02,337.13692149438486
26.04,337.3600444199071
26.06,337.583139695657
26.08,337.80620734285475
26.1,338.0292473826879
26.12,338.2522598363114
26.14,338.47524472484787
26.16,338.6982020693878
26.18,338.92113189098933
26.2,339.14403421067834
26.22,339.3669090494486
26.24,339.5897564282619
26.26,339.81257636804844
26.28,340.03536888970564
26.3,340.25813401410005
26.32,340.48087176206593
26.34,340.7035821544059
26.36,340.9262652118916
26.38,341.14892095526216
26.4,341.3715494052261
26.42,341.59415058246014
26.44,341.81672450760993
26.46,342.0392712012896
26.48,342.2617906840822
26.5,342.48428297654
26.52,342.70674809918387
26.54,342.92918607250385
26.56,343.1515969169593
26.58,343.37398065297833
26.6,343.5963373009588
26.62,343.8186668812674
26.64,344.04096941424075
26.66,344.2632449201845
26.68,344.4854934193739
26.7,344.7077149320542
26.72,344.9299094784398
26.74,345.152077078715
26.76,345.37421775303426
26.78,345.5963315215213
26.8,345.81841840427023
26.82,346.04047842134486
26.84,346.26251159277973
26.86,346.48451793857845
26.88,346.7064974787159
26.9,346.92845023313646
26.92,347.15037622175555
26.94,347.3722754644582
26.96,347.59414798110043
26.98,347.8159937915088
27.0,348.0378129154803
27.02,348.2596053727827
27.04,348.48137118315447
27.06,348.703110366305
27.08,348.9248229419142
27.1,349.1465089296333
27.12,349.36816834908427
27.14,349.58980121986014
27.16,349.81140756152547
27.18,350.0329873936153
27.2,350.2545407356367
27.22,350.4760676070674
27.24,350.6975680273569
27.26,350.9190420159259
27.28,351.1404895921668
27.3,351.3619107754436
27.32,351.5833055850914
27.34,351.8046740404178
27.36,352.0260161607017
27.38,352.2473319651937
27.4,352.46862147311646
27.42,352.6898847036648
27.44,352.9111216760049
27.46,353.1323324092758
27.48,353.35351692258814
27.5,353.57467523502464
27.52,353.79580736564077
27.54,354.0169133334636
27.56,354.2379931574937
27.58,354.45904685670257
27.6,354.68007445003565
27.62,354.9010759564098
27.64,355.1220513947149
27.66,355.34300078381375
27.68,355.5639241425418
27.7,355.78482148970653
27.72,356.00569284408937
27.74,356.226538224444
27.76,356.4473576494973
27.78,356.6681511379488
27.8,356.88891870847146
27.82,357.1096603797114
27.84,357.3303761702877
27.86,357.55106609879266
27.88,357.77173018379233
27.9,357.9923684438258
27.92,358.21298089740515
27.94,358.4335675630169
27.96,358.6541284591202
27.98,358.87466360414845
28.0,359.09517301650817
28.02,359.3156567145801
28.04,359.53611471671843
28.06,359.7565470412511
28.08,359.9769537064801
28.1,360.19733473068123
28.12,360.41769013210455
28.14,360.6380199289737
28.16,360.85832413948674
28.18,361.07860278181573
28.2,361.2988558741072
28.22,361.5190834344815
28.24,361.7392854810339
28.26,361.9594620318333
28.28,362.17961310492365
28.3,362.39973871832296
28.32,362.6198388900241
28.34,362.83991363799424
28.36,363.05996298017556
28.38,363.2799869344845
28.4,363.4999855188124
28.42,363.71995875102556
28.44,363.93990664896495
28.46,364.15982923044663
28.48,364.37972651326135
28.5,364.5995985151751
28.52,364.819445253929
28.54,365.03926674723897
28.56,365.2590630127964
28.58,365.4788340682677
28.6,365.6985799312948
28.62,365.9183006194944
28.64,366.1379961504595
28.66,366.35766654175757
28.68,366.57731181093214
28.7,366.79693197550233
28.72,367.0165270529625
28.74,367.23609706078264
28.76,367.45564201640883
28.78,367.6751619372624
28.8,367.8946568407407
28.82,368.114126744217
28.84,368.3335716650405
28.86,368.552991620536
28.88,368.7723866280044
28.9,368.99175670472306
28.92,369.21110186794493
28.94,369.4304221348992
28.96,369.6497175227913
28.98,369.8689880488031
29.0,370.0882337300923
29.02,370.30745458379346
29.04,370.52665062701715
29.06,370.74582187685036
29.08,370.9649683503566
29.1,371.1840900645765
29.12,371.4031870365263
29.14,371.6222592831993
29.16,371.8413068215656
29.18,372.0603296685721
29.2,372.27932784114205
29.22,372.4983013561758
29.24,372.7172502305506
29.26,372.9361744811205
29.28,373.15507412471635
29.3,373.37394917814646
29.32,373.5927996581958
29.34,373.81162558162663
29.36,374.03042696517826
29.38,374.2492038255672
29.4,374.4679561794874
29.42,374.68668404360955
29.44,374.9053874345825
29.46,375.1240663690317
29.48,375.3427208635605
29.5,375.5613509347496
29.52,375.7799565991572
29.54,375.99853787331904
29.56,376.2170947737483
29.58,376.43562731693646
29.6,376.6541355193518
29.62,376.87261939744104
29.64,377.09107896762833
29.66,377.30951424631576
29.68,377.5279252498835
29.7,377.7463119946892
29.72,377.96467449706876
29.74,378.18301277333615
29.76,378.4013268397835
29.78,378.6196167126802
29.8,378.8378824082752
29.82,379.0561239427945
29.84,379.2743413324428
29.86,379.4925345934031
29.88,379.71070374183626
29.9,379.9288487938821
29.92,380.1469697656587
29.94,380.36506667326233
29.96,380.5831395327679
29.98,380.801188360229
30.0,381.0192131716778
30.02,381.23721398312466
30.04,381.455190810559
30.06,381.6731436699492
30.08,381.89107257724174
30.1,382.10897754836213
30.12,382.32685859921514
30.14,382.54471574568396
30.16,382.7625490036307
30.18,382.9803583888967
30.2,383.198143917302
30.22,383.415905604646
30.24,383.6336434667072
30.26,383.8513575192427
30.28,384.0690477779893
30.3,384.2867142586628
30.32,384.50435697695826
30.34,384.7219759485502
30.36,384.9395711890923
