,speed_type,image_id,wave_id,mean_speed
82,wave,69.0,4.0,74.09630635208599
83,wave,69.0,60.0,64.07862500861457
84,wave,70.0,1.0,73.57603677081163
85,wave,70.0,8.0,134.86508347062951
86,wave,70.0,99.0,86.57394342125943
87,wave,71.0,7.0,25.075400229691194
88,wave,72.0,3.0,132.37261851050434
89,wave,73.0,11.0,66.98180289361841
90,wave,73.0,37.0,103.61180140294745
91,wave,74.0,19.0,148.4054952416416
92,wave,76.0,3.0,61.68129978139427
93,wave,76.0,7.0,126.64246059480115
94,wave,77.0,12.0,36.262808307546635
95,wave,77.0,15.0,42.32727227375047
96,wave,78.0,8.0,103.32834323963874
97,wave,78.0,44.0,67.23729490332931
98,wave,79.0,12.0,110.84288960635686
99,wave,79.0,18.0,76.6251588646508
100,wave,80.0,5.0,25.83971350032748
101,wave,80.0,16.0,86.71777206635258
102,wave,81.0,1.0,114.0436151679404
103,wave,81.0,2.0,145.62388460389067
104,wave,81.0,6.0,88.15687404676856
105,wave,81.0,76.0,81.4486570952792
106,wave,82.0,1.0,37.34969712898939
107,wave,82.0,2.0,126.86118817281157
108,wave,82.0,3.0,101.33279088540107
109,wave,82.0,7.0,169.16931104108724
110,wave,83.0,1.0,64.526488747488
111,wave,83.0,3.0,110.63337674301751
112,wave,83.0,15.0,29.947463619626987
113,wave,83.0,60.0,38.06438943159222
114,wave,84.0,6.0,135.4853818321447
115,wave,84.0,11.0,61.76227340267191
116,wave,85.0,1.0,54.35911183274651
117,wave,85.0,6.0,63.548812278882245
118,wave,86.0,35.0,69.27149712555585
119,wave,87.0,23.0,121.2140002359351
120,wave,87.0,27.0,112.96443344395355
121,wave,87.0,29.0,65.01553117600758
122,wave,87.0,70.0,78.03713068305106
123,wave,88.0,5.0,85.26460457744342
124,wave,88.0,60.0,112.76229535210587
0,cell,,,7.570506681643711
1,cell,,,4.620294236216314
2,cell,,,11.692630371594598
3,cell,,,12.398363173618682
4,cell,,,13.093799347711341
5,cell,,,14.773618373671031
6,cell,,,15.548959890992005
7,cell,,,13.779444839274822
8,cell,,,10.307073565611315
9,cell,,,14.598344544446109
10,cell,,,14.675977082250732
11,cell,,,10.111177057573432
12,cell,,,11.371910227190286
13,cell,,,10.068609877824368
14,cell,,,10.972741643353721
15,cell,,,9.612382487727714
16,cell,,,13.522805221642473
17,cell,,,14.509456862828593
18,cell,,,13.865607404575327
19,cell,,,12.842181395532672
20,cell,,,14.27512037787125
21,cell,,,8.632871026657405
22,cell,,,14.708756618865833
23,cell,,,8.60057963736735
24,cell,,,14.01141305672055
25,cell,,,14.729771108521058
26,cell,,,13.007897859282352
27,cell,,,12.453972377460392
28,cell,,,9.576881261307648
29,cell,,,8.46334389364958
30,cell,,,9.024187237751828
31,cell,,,7.481803013330519
32,cell,,,9.569680451109589
33,cell,,,10.911805665455814
34,cell,,,12.340780093085593
35,cell,,,13.695012380969544
36,cell,,,13.912835927129645
37,cell,,,14.21705274046376
38,cell,,,10.411612417105173
39,cell,,,11.622350527927827
40,cell,,,13.973174358432624
41,cell,,,10.567879395646322
42,cell,,,13.99145455208841
43,cell,,,11.232622296592186
44,cell,,,11.807140211399593
45,cell,,,11.073285435635954
46,cell,,,9.509271969898487
47,cell,,,4.906704023904626
48,cell,,,7.367154151621904
49,cell,,,5.923505291205822
50,cell,,,6.089763037596108
51,cell,,,8.471300182740958
52,cell,,,6.152672128596626
53,cell,,,9.873929203139264
54,cell,,,10.814004373221024
55,cell,,,13.158189832703421
56,cell,,,13.68783605845817
57,cell,,,12.835427136319167
58,cell,,,11.16084540987491
59,cell,,,14.715914191102645
60,cell,,,14.360918637311816
61,cell,,,9.763499412088837
62,cell,,,13.299695668914811
63,cell,,,8.197016763668872
64,cell,,,7.085232470209747
65,cell,,,8.662566777594188
66,cell,,,11.788409002477218
67,cell,,,11.27342507067216
68,cell,,,12.98769317478496
69,cell,,,11.001643213520962
70,cell,,,13.263693041258366
71,cell,,,9.286063174231433
72,cell,,,11.81063418661225
73,cell,,,11.69924361418062
74,cell,,,12.396938452803813
75,cell,,,9.76099704209198
76,cell,,,9.817218619617645
77,cell,,,9.585087392485441
78,cell,,,10.420571543021472
79,cell,,,9.271415894431396
80,cell,,,12.904701026342256
81,cell,,,10.499759660029971
82,cell,,,11.795072443838382
83,cell,,,13.570069172562551
84,cell,,,10.450978082286372
85,cell,,,14.329093223993166
86,cell,,,14.079918960444518
87,cell,,,10.533680145507219
88,cell,,,11.931920177581182
89,cell,,,12.004033143366717
90,cell,,,10.403924631842873
91,cell,,,9.755180381964735
92,cell,,,10.214058642542172
93,cell,,,11.470045253519448
94,cell,,,4.2418496969825314
95,cell,,,5.6719351512235985
96,cell,,,6.079882820444674
97,cell,,,7.422566661014607
98,cell,,,5.425438340835819
99,cell,,,9.98250689985377
100,cell,,,5.4081731936823285
101,cell,,,5.424220362489639
102,cell,,,11.00529033852134
103,cell,,,12.528466131005283
104,cell,,,11.073070701134201
105,cell,,,11.67689198247736
106,cell,,,10.345751754384876
107,cell,,,10.22734554466008
108,cell,,,10.221936947832683
